Rk,Player,Pos,Age,Tm,G,GS,MP,FG,3P,DRB,TRB
148,Simone Fontecchio,SF,27,UTA,52,6,14.7,2.2,1.2,1.1,1.7
149,Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,0.6,0.4,0.6
150,Trent Forrest,PG,24,ATL,23,3,12,1.1,0,1.4,1.6
151,Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,0,0
152,Evan Fournier,SG,30,NYK,27,7,17,2.1,1.3,1.7,1.8
153,De'Aaron Fox,PG,25,SAC,73,73,33.4,9.3,1.6,3.6,4.2
154,Markelle Fultz,PG,24,ORL,60,60,29.6,5.8,0.5,2.8,3.9
155,Wenyen Gabriel,PF,25,LAL,68,2,15.1,2.3,0.1,2.5,4.2
156,Daniel Gafford,C,24,WAS,78,47,20.6,3.7,0,3.5,5.6
157,Darius Garland,PG,23,CLE,69,69,35.5,7.6,2.4,2.3,2.7
158,Usman Garuba,PF,20,HOU,75,1,12.9,1.1,0.3,2.5,4.1
159,Luka Garza,C,24,MIN,28,0,8.7,2.3,0.5,1.1,2.3
160,Rudy Gay,PF,36,UTA,56,0,14.6,1.9,0.6,2.3,2.9
161,Paul George,SG,32,LAC,56,56,34.6,8.2,2.8,5.3,6.1
162,Taj Gibson,C,37,WAS,49,2,9.8,1.3,0.2,1.2,1.9
163,Josh Giddey,SG,20,OKC,76,76,31.1,7.1,1,5.9,7.9
164,Shai Gilgeous-Alexander,PG,24,OKC,68,68,35.5,10.4,0.9,4,4.8
165,Anthony Gill,PF,30,WAS,59,8,10.6,1.2,0.1,1.1,1.7
166,Jacob Gilyard,PG,24,MEM,1,0,41,1,1,4,4
167,Rudy Gobert,C,30,MIN,70,70,30.7,5.1,0,8.3,11.6
168,Jordan Goodwin,PG,24,WAS,62,7,17.8,2.5,0.6,2.4,3.3
169,Aaron Gordon,PF,27,DEN,68,68,30.2,6.3,0.9,4.1,6.6
170,Eric Gordon,SG,34,TOT,69,58,28.5,4.2,1.9,1.7,1.9
170,Eric Gordon,SG,34,HOU,47,47,30.2,4.5,1.8,1.8,2.1
170,Eric Gordon,SG,34,LAC,22,11,24.9,3.7,2.1,1.5,1.7
171,Devonte' Graham,PG,27,TOT,73,8,18.3,2.2,1.6,1.4,1.7
171,Devonte' Graham,PG,27,NOP,53,0,15.3,1.6,1.2,1.1,1.4
171,Devonte' Graham,PG,27,SAS,20,8,26.4,3.8,2.7,2.2,2.5
172,Jerami Grant,PF,28,POR,63,63,35.7,6.9,2.3,3.7,4.5
173,RaiQuan Gray,PF,23,BRK,1,0,35,6,2,6,9
174,A.J. Green,SG,23,MIL,35,1,9.9,1.5,1.3,1.1,1.3
175,Danny Green,SG,35,TOT,11,0,12.5,2,1.5,1,1.3
175,Danny Green,SG,35,MEM,3,0,14.3,1,1,1,1.3
175,Danny Green,SG,35,CLE,8,0,11.9,2.4,1.6,1,1.3
176,Draymond Green,PF,32,GSW,73,73,31.5,3.4,0.5,6.3,7.2
177,Jalen Green,SG,20,HOU,76,76,34.2,7.4,2.5,3.2,3.7
178,JaMychal Green,PF,32,GSW,57,1,14,2.4,0.7,2.3,3.6
179,Javonte Green,SG,29,CHI,32,1,15,1.9,0.4,1.9,2.8
180,Jeff Green,PF,36,DEN,56,4,19.5,2.9,0.5,1.9,2.6
181,Josh Green,SG,22,DAL,60,21,25.7,3.4,1.1,2.1,3
182,AJ Griffin,SF,19,ATL,72,12,19.5,3.4,1.4,1.6,2.1
183,Blake Griffin,C,33,BOS,41,16,13.9,1.5,0.6,2.6,3.8
184,Quentin Grimes,SG,22,NYK,71,66,29.9,4,2.2,2.5,3.2
185,Rui Hachimura,PF,24,TOT,63,9,23.3,4.5,0.8,3.7,4.5
185,Rui Hachimura,PF,24,WAS,30,0,24.3,5.3,1,3.6,4.3
185,Rui Hachimura,PF,24,LAL,33,9,22.4,3.8,0.6,3.7,4.7
186,Tyrese Haliburton,PG,22,IND,56,56,33.6,7.4,2.9,3.1,3.7
187,Jordan Hall,SF,21,SAS,9,0,9.2,1,0.3,1,1.3
188,R.J. Hampton,PG,21,TOT,47,3,16,2.2,0.9,1.5,1.9
188,R.J. Hampton,PG,21,ORL,26,0,13.9,1.9,0.7,1.2,1.5
188,R.J. Hampton,PG,21,DET,21,3,18.5,2.5,1.1,1.9,2.3
189,Tim Hardaway Jr.,SG,30,DAL,71,45,30.3,4.8,3,3.2,3.5
190,James Harden,PG,33,PHI,58,58,36.8,6.4,2.8,5.4,6.1
191,Jaden Hardy,SG,20,DAL,48,5,14.8,3,1.3,1.6,1.9
192,Ron Harper Jr.,SF,22,TOR,9,0,5.3,0.9,0.3,0.4,0.8
193,Montrezl Harrell,C,29,PHI,57,7,11.9,2.2,0,1.6,2.8
194,Gary Harris,SG,28,ORL,48,42,24.7,2.9,2,1.6,2
195,Joe Harris,SG,31,BRK,74,33,20.6,2.7,1.9,1.9,2.2
196,Kevon Harris,SG,25,ORL,34,0,13.4,1.4,0.5,1.2,2.1
197,Tobias Harris,PF,30,PHI,74,74,32.9,5.7,1.7,4.8,5.7
198,Shaquille Harrison,SG,29,POR,5,0,24,3,0.6,4.2,4.4
199,Josh Hart,SF-SG,27,TOT,76,52,32.3,3.6,0.8,5.9,7.8
199,Josh Hart,SF,27,POR,51,51,33.4,3.6,0.7,6.3,8.2
199,Josh Hart,SG,27,NYK,25,1,30,3.7,1.1,5.2,7
200,Isaiah Hartenstein,C,24,NYK,82,8,19.8,2.1,0.1,4,6.5
201,Udonis Haslem,C,42,MIA,7,1,10.1,1.4,0.4,1,1.6
202,Sam Hauser,PF,25,BOS,80,8,16.1,2.3,1.8,2.1,2.6
203,Jaxson Hayes,C,22,NOP,47,2,13,1.8,0.1,2,2.8
204,Killian Hayes,PG,21,DET,76,56,28.3,4,1.1,2.5,2.9
205,Gordon Hayward,SF,32,CHO,50,50,31.5,5.5,1,3.6,4.3
206,Juancho Hernangómez,PF,27,TOR,42,10,14.6,1.1,0.4,2.3,2.9
207,Willy Hernangómez,C,28,NOP,38,2,12.1,2.3,0.1,3.2,4.7
208,Tyler Herro,SG,23,MIA,67,67,34.9,7.3,3,5,5.4
209,Buddy Hield,SF,30,IND,80,73,31,5.9,3.6,4.2,5
210,Haywood Highsmith,SF,26,MIA,54,11,17.9,1.7,0.7,2.4,3.5
211,George Hill,PG,36,TOT,46,1,18.1,1.7,0.7,1.5,1.8
211,George Hill,PG,36,MIL,35,0,19.1,1.7,0.7,1.5,1.9
211,George Hill,PG,36,IND,11,1,15.1,1.7,1,1.5,1.6
212,Malcolm Hill,SF,27,CHI,5,0,1.8,0.4,0.2,0.6,0.6
213,Aaron Holiday,PG,26,ATL,63,6,13.4,1.5,0.6,0.8,1.2
214,Jrue Holiday,PG,32,MIL,67,65,32.6,7.3,2.4,3.9,5.1
215,Justin Holiday,SG,33,TOT,46,2,15.3,1.7,1,1.1,1.2
215,Justin Holiday,SG,33,ATL,28,0,14.7,1.7,1.1,0.8,0.8
215,Justin Holiday,SG,33,DAL,18,2,16.4,1.6,0.9,1.6,1.8
216,Richaun Holmes,C,29,SAC,42,1,8.3,1.3,0.1,1.2,1.9
